,precision,recall,f1-score,support
Cyclooxygenase inhibitor,0.05555555555555555,0.03757225433526012,0.04482758620689655,346.0
DNA synthesis/repair inhibitor,0.1445466491458607,0.24553571428571427,0.18196856906534326,448.0
EGFR/ERBB inhibitor,0.04190751445086705,0.3258426966292135,0.07426376440460948,89.0
JAK/STAT inhibitor,0.04539007092198582,0.16243654822335024,0.07095343680709534,197.0
MTOR inhibitor,0.08869179600886919,0.33472803347280333,0.14022787028921999,239.0
Microtubule inhibitor,0.05935483870967742,0.36220472440944884,0.10199556541019955,127.0
Retinoic receptor agonist,0.08354755784061697,0.4088050314465409,0.13874066168623267,159.0
unclear,0.7254901960784313,0.03269513991163476,0.06257046223224352,3395.0
accuracy,0.0972,0.0972,0.0972,0.0972
macro avg,0.15556052233898301,0.23872751783924573,0.10194348951273005,5000.0
weighted avg,0.5203418829885015,0.0972,0.07971478962893293,5000.0
