drug,0,1,2,3,4,5,6,7,8,9
(R)-Verapamil (hydrochloride),142,29,17,21,48,29,59,106,93,59
Aliskiren,112,33,19,41,73,39,62,103,109,59
Berbamine,116,27,22,23,51,24,42,119,78,45
Idarubicin (hydrochloride),75,41,14,31,60,31,58,88,101,38
Isocorydine,87,38,17,30,52,27,69,77,104,63
Palmatine (chloride),110,24,15,25,54,23,53,95,97,55
Pasireotide (acetate),89,62,17,33,65,33,67,94,81,61
Quinestrol,116,48,20,34,96,40,66,131,114,71
Raltitrexed,75,39,13,25,66,30,57,83,95,52
Retinoic acid,79,55,15,32,98,29,92,70,100,67
Riluzole hydrochloride,86,38,16,22,96,32,74,101,101,57
Tolcapone,83,24,17,27,64,29,44,116,97,42
