drug,0,1,2,3,4,5,6,7,8,9
(R)-Verapamil (hydrochloride),0.23548922056384744,0.04809286898839138,0.028192371475953566,0.03482587064676617,0.07960199004975124,0.04809286898839138,0.0978441127694859,0.175787728026534,0.15422885572139303,0.0978441127694859
Aliskiren,0.1723076923076923,0.05076923076923077,0.02923076923076923,0.06307692307692307,0.1123076923076923,0.06,0.09538461538461539,0.15846153846153846,0.1676923076923077,0.09076923076923077
Berbamine,0.21206581352833637,0.04936014625228519,0.04021937842778794,0.04204753199268738,0.09323583180987204,0.043875685557586835,0.07678244972577697,0.21755027422303475,0.1425959780621572,0.08226691042047532
Idarubicin (hydrochloride),0.13966480446927373,0.07635009310986965,0.0260707635009311,0.05772811918063315,0.11173184357541899,0.05772811918063315,0.10800744878957169,0.16387337057728119,0.18808193668528864,0.07076350093109869
Isocorydine,0.15425531914893617,0.0673758865248227,0.030141843971631204,0.05319148936170213,0.09219858156028368,0.047872340425531915,0.12234042553191489,0.13652482269503546,0.18439716312056736,0.11170212765957446
Palmatine (chloride),0.1996370235934664,0.043557168784029036,0.02722323049001815,0.045372050816696916,0.09800362976406533,0.041742286751361164,0.09618874773139746,0.1724137931034483,0.17604355716878403,0.0998185117967332
Pasireotide (acetate),0.1478405315614618,0.10299003322259136,0.02823920265780731,0.054817275747508304,0.1079734219269103,0.054817275747508304,0.11129568106312292,0.15614617940199335,0.1345514950166113,0.10132890365448505
Quinestrol,0.15760869565217392,0.06521739130434782,0.02717391304347826,0.04619565217391304,0.13043478260869565,0.05434782608695652,0.08967391304347826,0.17798913043478262,0.15489130434782608,0.09646739130434782
Raltitrexed,0.14018691588785046,0.07289719626168224,0.024299065420560748,0.04672897196261682,0.1233644859813084,0.056074766355140186,0.10654205607476636,0.15514018691588785,0.17757009345794392,0.09719626168224299
Retinoic acid,0.12401883830455258,0.08634222919937205,0.023547880690737835,0.05023547880690738,0.15384615384615385,0.04552590266875981,0.14442700156985872,0.10989010989010989,0.15698587127158556,0.10518053375196232
Riluzole hydrochloride,0.13804173354735153,0.060995184590690206,0.025682182985553772,0.03531300160513644,0.15409309791332262,0.051364365971107544,0.1187800963081862,0.16211878009630817,0.16211878009630817,0.09149277688603531
Tolcapone,0.15285451197053407,0.04419889502762431,0.03130755064456722,0.049723756906077346,0.11786372007366483,0.053406998158379376,0.08103130755064457,0.2136279926335175,0.17863720073664824,0.07734806629834254
