pc,explained_variance_ratio
pc1,0.021251462525233508
pc2,0.007563917731543417
pc3,0.006203982660453487
pc4,0.0040695568168484806
pc5,0.0036510097884634284
pc6,0.0030058473483400823
pc7,0.002710017476962355
pc8,0.0025412254763241696
pc9,0.0024716664089148624
pc10,0.0020308210000711544
pc11,0.001949864269193634
pc12,0.001818181559255296
pc13,0.0017157927886389543
pc14,0.0016954796142579268
pc15,0.0016253259013109588
pc16,0.0015878246801552395
pc17,0.001528136740803089
pc18,0.0014852537382354387
pc19,0.0013106799028331844
pc20,0.0012888198142256006
pc21,0.0012467149178800342
pc22,0.0011959486005275832
pc23,0.0011127707003934534
pc24,0.0011068387384085534
pc25,0.0010735764265074777
pc26,0.0010068681252597728
pc27,0.0009685094622861587
pc28,0.0009497855378587683
pc29,0.0009358576521824546
pc30,0.0009037524386196956
pc31,0.0008815044354056866
pc32,0.0008381200413803315
pc33,0.0008291978525426959
pc34,0.0007838854054215309
pc35,0.0007636716372436665
pc36,0.0007372015955328419
pc37,0.0007270970123087684
pc38,0.0006929156112233789
pc39,0.0006722699055739049
pc40,0.0006621280722072881
pc41,0.0006408973392914574
pc42,0.0006076666680902123
pc43,0.0005858068280641731
pc44,0.0005742708468708777
pc45,0.0005618822898575609
pc46,0.0005459719143688101
pc47,0.0005258642945359502
pc48,0.0005078337426755586
pc49,0.00049113536517673
pc50,0.0004754569323227396
